"id","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot"
35,"b00414","KSW","BUR",477484.14,5631618.12,8,0.13,NA,"fs-042"
36,"b00415","KSW","HBU",477481.53,5631618.76,8,0.17,NA,"fs-042"
37,"b00416","KSW","LAE",477479.59,5631619.5,18,0.36,NA,"fs-042"
38,"b00417","KSW","BUR",477477.31,5631617.5,7,0.14,NA,"fs-042"
39,"b00418","KSW","BUR",477475.17,5631623.45,9,0.23,NA,"fs-042"
40,"b00419","KSW","LAE",477471.89,5631626,14,0.32,NA,"fs-042"
41,"b00420","BHW","BUR",477661.55,5632265.6,11,0.1,NA,"fs-047"
42,"b00421","BHW","BUR",477661.74,5632266,10,0.08,NA,"fs-047"
43,"b00422","BHW","BUR",477661.81,5632267.7,12,0.12,NA,"fs-047"
44,"b00423","BHW","BUR",477661.3,5632268.28,13,0.15,NA,"fs-047"
45,"b00424","BHW","BUR",477660.94,5632267.63,13,0.12,NA,"fs-047"
46,"b00425","BHW","BUR",477660.49,5632267.13,11,0.08,NA,"fs-047"
47,"b00426","BHW","BUR",477659.45,5632265.25,12,0.11,NA,"fs-047"
48,"b00427","BHW","BUR",477659.6,5632267.1,11,0.08,NA,"fs-047"
49,"b00428","BHW","BUR",477659.11,5632268.28,8,0.07,NA,"fs-047"
50,"b00429","BHW","BUR",477658.28,5632264.2,13,0.14,NA,"fs-047"
51,"b00430","BHW","BUR",477656.89,5632267.91,10,0.1,NA,"fs-047"
52,"b00431","BHW","FIG",477655.05,5632267.42,11,0.11,NA,"fs-047"
53,"b00432","BHW","BUR",477655.11,5632264.35,16,0.25,NA,"fs-047"
54,"b00433","BHW","BUR",477653.98,5632266.15,10,0.08,NA,"fs-047"
55,"b00434","BHW","BUR",477653.13,5632266.05,11,0.09,NA,"fs-047"
56,"b00435","BHW","BUR",477651.99,5632265.91,11,0.09,NA,"fs-047"
57,"b00436","BHW","BIG",477651.77,5632263,16,0.37,NA,"fs-047"
58,"b00437","BHW","BUR",477649.54,5632262.58,9,0.08,NA,"fs-047"
59,"b00438","BHW","BUR",477648.56,5632257.94,14,0.15,NA,"fs-047"
60,"b00439","BHW","HAS",477654.42,5632257.82,9,0.08,"mehrstämmig","fs-047"
61,"b00520","BHW","BUR",477501.38,5632278.07,11,0.13,NA,"fs-049"
62,"b00521","BHW","FIG",477494.75,5632274.97,17,0.11,NA,"fs-049"
63,"b00522","BHW","FIG",477494.03,5632274.26,9,0.11,NA,"fs-049"
64,"b00523","BHW","FIG",477492.32,5632272.41,11,0.09,NA,"fs-049"
65,"b00524","BHW","FIG",477492.56,5632274.28,17,0.1,NA,"fs-049"
66,"b00525","BHW","FIG",477490.63,5632275.64,17,0.1,NA,"fs-049"
67,"b00526","BHW","BUR",477571.47,5632283.37,NA,0.09,"tot","fs-048"
68,"b00527","BHW","BUR",477574.44,5632288.1,8,0.09,"tot","fs-048"
69,"b00528","BHW","BUR",477580.68,5632291.07,10,0.09,"tot","fs-048"
70,"b00529","BHW","BUR",477578.03,5632284.54,13,0.09,"tot","fs-048"
71,"b00530","BHW","BUR",477580.21,5632277.33,6,0.08,"tot","fs-048"
72,"b00531","jk","BUR",477415.37,5631972.04,NA,0.51,"Kontrollplot exc-001","fs-006"
73,"b00532","jk","BUR",477411.09,5631968.86,NA,0.47,"steht in exc-001","fs-006"
84,"b00543","jk","BUR",477704.41,5631924.46,NA,0.38,NA,"fs-044"
85,"b00544","jk","BUR",477695.35,5631711.47,NA,0.15,NA,"fs-046"
86,"b00545","jk","BUR",477693.8,5631711.29,NA,0.18,NA,"fs-046"
87,"b00546","jk","BUR",477688.06,5631710.92,NA,0.33,NA,"fs-046"
88,"b00547","jk","BUR",477683.42,5631725.36,NA,0.3,"tot. liegt schief","fs-046"
116,"b00616","KSW","BUR",477241.58,5631635.65,20,0.65,"vorhandener HabTree. Plakette von jg","fs-041"
122,"b00624","dg","BUR",477480,5631719.22,NA,0.37,"Zwiesel","fs-013"
128,"b00630","jg","BUR",477485.69,5631797.12,NA,0.58,"Zwiesel","fs-002"
132,"b00640","BHW","FIG",477653.58,5632257.67,19,0.34,NA,"fs-047"
133,"b00641","BHW","BUR",477650.14,5632255.27,9,0.09,NA,"fs-047"
134,"b00642","BHW","BUR",477650.37,5632253.92,14,0.3,NA,"fs-047"
135,"b00643","BHW","BUR",477654.17,5632255.75,12,0.09,NA,"fs-047"
136,"b00644","BHW","BUR",477654.74,5632255.86,16,0.17,NA,"fs-047"
137,"b00645","BHW","BUR",477655.44,5632255.85,10,0.09,NA,"fs-047"
138,"b00646","BHW","BUR",477574.22,5632290.73,15,0.18,NA,"fs-048"
139,"b00647","BHW","BUR",477574.65,5632292.22,16,0.11,NA,"fs-048"
140,"b00648","BHW","BUR",477574.96,5632291.13,16,0.1,NA,"fs-048"
